10Y,7Y,5Y,3Y,2Y,1Y
3.99,3.49,2.96,2.14,1.66,1.19
4.09,3.59,3.06,2.22,1.71,1.21
4.16,3.66,3.13,2.27,1.75,1.23
4.11,3.6,3.07,2.21,1.7,1.21
4.22,3.72,3.22,2.39,1.87,1.26
4.22,3.74,3.22,2.39,1.88,1.29
4.16,3.68,3.17,2.35,1.84,1.28
4.18,3.7,3.18,2.36,1.83,1.29
4.13,3.65,3.12,2.3,1.78,1.27
4.15,3.67,3.15,2.32,1.8,1.27
4.2,3.72,3.21,2.4,1.85,1.29
4.12,3.63,3.12,2.29,1.77,1.26
4.09,3.6,3.08,2.26,1.76,1.25
4.13,3.64,3.13,2.33,1.82,1.27
4.05,3.56,3.03,2.23,1.73,1.23
4.1,3.58,3.07,2.26,1.75,1.24
4.05,3.54,3.01,2.19,1.7,1.21
NA,NA,NA,NA,NA,NA
4.05,3.54,3.02,2.2,1.7,1.21
4.05,3.55,3.03,2.22,1.72,1.23
4.05,3.54,3.02,2.2,1.7,1.23
4.1,3.59,3.08,2.25,1.75,1.26
4.05,3.55,3.03,2.21,1.69,1.22
4.04,3.53,3.01,2.2,1.69,1.23
4.02,3.51,2.98,2.16,1.67,1.23
4.05,3.54,3.01,2.18,1.69,1.23
3.99,3.48,3.01,2.13,1.66,1.21
4,3.49,2.98,2.15,1.67,1.23
4.05,3.55,3.04,2.21,1.74,1.26
4.07,3.57,3.06,2.23,1.74,1.26
4.04,3.53,3.02,2.21,1.73,1.25
3.85,3.32,2.81,2.02,1.57,1.16
3.78,3.26,2.74,1.95,1.52,1.15
3.73,3.2,2.68,1.92,1.51,1.15
3.74,3.21,2.71,1.94,1.54,1.17
3.74,3.23,2.72,1.95,1.52,1.15
3.78,3.24,2.73,1.95,1.54,1.18
3.78,3.25,2.74,1.97,1.56,1.18
3.7,3.17,2.65,1.89,1.51,1.17
3.71,3.18,2.66,1.92,1.53,1.18
3.76,3.25,2.72,1.96,1.55,1.17
3.8,3.28,2.75,1.97,1.56,1.19
3.74,3.22,2.69,1.93,1.52,1.17
3.73,3.21,2.69,1.92,1.52,1.17
3.73,3.21,2.68,1.91,1.5,1.16
3.75,3.23,2.7,1.91,1.51,1.15
3.85,3.33,2.81,2,1.59,1.19
3.91,3.39,2.86,2.05,1.63,1.21
3.91,3.39,2.86,2.05,1.63,1.21
3.86,3.33,2.8,1.99,1.6,1.2
3.91,3.38,2.87,2.06,1.65,1.23
4.15,3.66,3.15,2.33,1.86,1.3
4.24,3.76,3.24,2.4,1.91,1.34
4.19,3.7,3.19,2.35,1.86,1.31
4.19,3.71,3.19,2.36,1.87,1.31
4.21,3.73,3.22,2.37,1.88,1.32
NA,NA,NA,NA,NA,NA
4.25,3.78,3.26,2.41,1.91,1.34
4.35,3.89,3.37,2.52,2.01,1.39
4.4,3.95,3.44,2.6,2.13,1.48
4.42,3.96,3.45,2.59,2.1,1.46
4.37,3.9,3.39,2.53,2.03,1.4
4.39,3.93,3.42,2.58,2.07,1.43
4.43,3.97,3.45,2.62,2.11,1.46
4.45,4.01,3.52,2.71,2.22,1.52
4.4,3.95,3.46,2.64,2.15,1.49
4.48,4.07,3.58,2.78,2.29,1.59
4.46,4.05,3.57,2.78,2.28,1.57
4.43,4.01,3.52,2.74,2.21,1.53
4.5,4.08,3.6,2.82,2.3,1.54
4.55,4.14,3.66,2.88,2.34,1.55
4.53,4.11,3.63,2.86,2.31,1.55
4.53,4.11,3.63,2.86,2.34,1.6
4.56,4.15,3.66,2.88,2.32,1.57
4.61,4.18,3.71,2.91,2.34,1.56
4.63,4.2,3.72,2.94,2.39,1.61
4.79,4.41,3.96,3.19,2.64,1.83
4.81,4.41,3.95,3.18,2.61,1.85
4.79,4.39,3.94,3.19,2.61,1.83
4.83,4.41,3.96,3.19,2.62,1.81
4.85,4.46,4.01,3.24,2.67,1.84
4.79,4.39,3.92,3.16,2.59,1.81
4.7,4.29,3.83,3.07,2.51,1.8
4.74,4.34,3.87,3.13,2.58,1.83
4.79,4.39,3.93,3.18,2.61,1.85
4.72,4.33,3.86,3.12,2.55,1.81
4.76,4.37,3.91,3.18,2.6,1.84
4.75,4.36,3.9,3.17,2.59,1.86
4.73,4.34,3.89,3.16,2.58,1.84
4.67,4.27,3.81,3.08,2.52,1.81
4.6,4.2,3.74,3.02,2.46,1.77
4.66,4.26,3.81,3.1,2.54,1.83
NA,NA,NA,NA,NA,NA
4.71,4.31,3.86,3.14,2.6,1.89
4.74,4.35,3.91,3.19,2.65,1.92
4.71,4.34,3.89,3.17,2.63,1.91
4.78,4.41,3.97,3.25,2.7,1.97
4.78,4.39,3.95,3.22,2.67,1.96
4.78,4.4,3.96,3.24,2.73,2.02
4.82,4.44,4.01,3.31,2.79,2.14
4.81,4.43,4,3.32,2.81,2.14
NA,NA,NA,NA,NA,NA
4.89,4.51,4.1,3.45,2.97,2.25
4.69,4.31,3.9,3.26,2.77,2.16
4.74,4.36,3.96,3.31,2.84,2.24
4.71,4.33,3.93,3.28,2.81,2.21
4.72,4.34,3.94,3.28,2.81,2.24
4.7,4.33,3.91,3.26,2.8,2.17
4.72,4.34,3.92,3.28,2.8,2.21
4.71,4.33,3.9,3.25,2.78,2.15
4.66,4.27,3.85,3.21,2.74,2.11
4.66,4.27,3.85,3.2,2.74,2.14
4.76,4.37,3.97,3.32,2.86,2.3
4.7,4.33,3.92,3.28,2.83,2.2
4.62,4.24,3.81,3.16,2.7,2.09
4.57,4.18,3.74,3.08,2.64,2.07
4.48,4.08,3.62,2.96,2.54,2.02
NA,NA,NA,NA,NA,NA
4.49,4.1,3.65,2.99,2.56,2.15
4.5,4.1,3.67,2.99,2.56,2
4.49,4.09,3.65,2.97,2.55,1.99
4.49,4.08,3.64,2.96,2.55,2
4.46,4.06,3.62,2.96,2.53,2.02
4.5,4.1,3.66,3,2.58,2.05
4.5,4.1,3.68,3.02,2.62,2.08
4.5,4.1,3.69,3.04,2.64,2.11
4.38,3.99,3.56,2.93,2.54,2.08
4.38,3.99,3.57,2.94,2.56,2.1
4.47,4.09,3.68,3.06,2.67,2.13
4.5,4.13,3.72,3.1,2.71,2.14
4.48,4.11,3.71,3.09,2.69,2.12
4.45,4.08,3.69,3.08,2.69,2.12
4.49,4.13,3.73,3.13,2.75,2.18
4.62,4.25,3.85,3.23,2.82,2.19
4.61,4.23,3.82,3.19,2.78,2.17
4.6,4.23,3.8,3.16,2.75,2.15
4.5,4.13,3.71,3.09,2.68,2.13
4.48,4.1,3.68,3.06,2.66,2.12
4.45,4.08,3.67,3.05,2.66,2.11
4.45,4.08,3.66,3.05,2.66,2.11
4.43,4.05,3.64,3.04,2.64,2.09
4.24,3.84,3.4,2.79,2.4,1.91
4.28,3.88,3.45,2.86,2.45,1.97
4.32,3.94,3.52,2.94,2.55,2.01
4.3,3.92,3.51,2.91,2.54,2
4.27,3.89,3.47,2.89,2.52,1.99
4.22,3.85,3.42,2.85,2.47,1.97
4.26,3.89,3.45,2.87,2.51,2.01
4.21,3.83,3.39,2.81,2.44,1.98
4.23,3.85,3.41,2.82,2.44,1.97
4.22,3.84,3.39,2.8,2.43,1.96
4.24,3.86,3.42,2.83,2.46,1.98
4.28,3.9,3.46,2.87,2.5,2.03
4.28,3.91,3.46,2.87,2.5,2.03
4.26,3.89,3.46,2.88,2.51,2.03
4.22,3.85,3.42,2.85,2.48,2.02
4.23,3.86,3.43,2.85,2.48,2.03
4.19,3.82,3.4,2.82,2.47,2.04
4.13,3.76,3.33,2.75,2.41,1.99
4.13,3.76,3.32,2.74,2.41,1.99
4.2,3.83,3.4,2.8,2.46,2.02
4.3,3.93,3.52,2.94,2.61,2.12
NA,NA,NA,NA,NA,NA
4.26,3.89,3.48,2.91,2.58,2.13
4.18,3.8,3.4,2.83,2.5,2.09
4.22,3.84,3.41,2.85,2.5,2.09
4.19,3.79,3.4,2.84,2.5,2.08
4.16,3.78,3.38,2.83,2.5,2.1
4.15,3.76,3.35,2.81,2.47,2.08
4.18,3.8,3.39,2.84,2.51,2.09
4.08,3.69,3.29,2.75,2.44,2.06
4.14,3.75,3.35,2.83,2.53,2.11
4.07,3.68,3.28,2.75,2.46,2.1
4.05,3.66,3.28,2.79,2.49,2.12
4,3.62,3.26,2.78,2.5,2.12
4.02,3.66,3.3,2.83,2.57,2.16
4.04,3.69,3.33,2.88,2.62,2.2
4.01,3.65,3.29,2.84,2.59,2.2
4.02,3.66,3.28,2.8,2.55,2.18
4.1,3.75,3.37,2.89,2.61,2.2
4.14,3.79,3.38,2.89,2.63,2.21
4.21,3.85,3.44,2.92,2.63,2.21
4.19,3.84,3.44,2.93,2.65,2.25
4.18,3.83,3.44,2.93,2.65,2.23
4.23,3.88,3.51,2.99,2.7,2.26
4.26,3.92,3.53,3.01,2.72,2.26
4.15,3.8,3.39,2.88,2.61,2.21
NA,NA,NA,NA,NA,NA
4.12,3.77,3.35,2.84,2.56,2.2
4.09,3.74,3.32,2.8,2.53,2.17
4.03,3.68,3.26,2.76,2.48,2.15
4.07,3.72,3.31,2.8,2.53,2.18
4.07,3.72,3.31,2.82,2.55,2.21
4.07,3.73,3.32,2.84,2.57,2.22
